sector_code,municipality_name,municipality_code,sector_situation,MR_name,sector_type,avg_income,total_households,piped_water,well_spring_water,stored_rainwater,other_water_source,private_bathroom,bathroom_sewerage,bathroom_septic_tank,bathroom_cesspit,bathroom_ditch,bathroom_waterbodies,bathroom_other
150140245000187,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1256,416,352,1,0,63,416,162,238,16,0,0,0
150140245000188,BELÉM,1501402,urban,Metropolitan Region of Belém,0,669,539,27,394,0,118,539,13,0,525,0,0,1
150140245000189,BELÉM,1501402,urban,Metropolitan Region of Belém,0,894,496,45,358,0,93,481,17,17,431,1,0,15
150140245000190,BELÉM,1501402,urban,Metropolitan Region of Belém,0,841,473,27,379,0,67,456,17,160,275,1,0,3
150140245000191,BELÉM,1501402,urban,Metropolitan Region of Belém,0,734,284,9,195,0,80,264,15,139,95,1,2,12
150140245000192,BELÉM,1501402,urban,Metropolitan Region of Belém,0,592,174,2,159,0,13,160,4,2,122,14,0,18
150140245000193,BELÉM,1501402,urban,Metropolitan Region of Belém,0,611,197,2,180,0,15,188,5,44,118,21,0,0
150140245000194,BELÉM,1501402,urban,Metropolitan Region of Belém,0,637,205,1,193,0,11,205,2,1,201,0,0,1
150140245000195,BELÉM,1501402,urban,Metropolitan Region of Belém,0,742,220,6,202,0,12,218,7,128,83,0,0,0
150140245000196,BELÉM,1501402,urban,Metropolitan Region of Belém,0,588,363,9,257,0,97,351,5,4,284,58,0,0
150140245000197,BELÉM,1501402,urban,Metropolitan Region of Belém,0,616,323,4,249,0,70,314,0,296,18,0,0,0
150140245000198,BELÉM,1501402,urban,Metropolitan Region of Belém,0,610,248,7,202,0,39,247,2,230,7,4,0,4
150140245000199,BELÉM,1501402,urban,Metropolitan Region of Belém,0,993,313,5,245,0,63,302,12,262,8,5,10,5
150140245000200,BELÉM,1501402,urban,Metropolitan Region of Belém,0,705,214,177,27,0,10,211,13,177,4,15,1,1
150140245000201,BELÉM,1501402,urban,Metropolitan Region of Belém,0,659,274,210,58,0,6,273,9,0,263,1,0,0
150140245000202,BELÉM,1501402,urban,Metropolitan Region of Belém,0,507,230,218,9,0,3,227,14,159,47,5,0,2
150140245000203,BELÉM,1501402,urban,Metropolitan Region of Belém,0,930,631,514,91,0,26,631,217,7,393,13,0,1
150140245000204,BELÉM,1501402,urban,Metropolitan Region of Belém,0,483,321,312,8,0,1,318,14,0,302,0,0,2
150140245000205,BELÉM,1501402,urban,Metropolitan Region of Belém,0,651,367,338,26,0,3,362,53,258,0,51,0,0
150140245000206,BELÉM,1501402,urban,Metropolitan Region of Belém,0,508,327,107,203,0,17,327,34,0,277,10,0,6
