"";"sector_code";"municipality_name";"municipality_code";"sector_situation";"MR_name";"sector_type";"V005_bas";"V002_h01";"V012_h01";"V013_h01";"V014_h01";"V015_h01";"V016_h01";"V017_h01";"V018_h01";"V019_h01";"V020_h01";"V021_h01";"V022_h01";"V002_h02"
"182";"150080005000182";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";656,6;209;59;122;0;28;209;5;25;176;3;0;0;833
"183";"150080005000183";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";778,2;167;30;123;0;14;167;14;9;142;0;0;2;655
"184";"150080005000184";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";807,17;145;15;122;0;8;144;15;7;112;7;0;3;585
"185";"150080005000185";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";660,49;304;11;264;0;29;303;44;8;249;0;0;2;1167
"186";"150080005000186";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";656,33;222;3;211;0;8;219;23;29;164;2;0;1;801
"187";"150080005000187";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";950,33;372;6;333;0;33;368;1;16;351;0;0;0;1366
"188";"150080005000188";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";542,88;242;23;134;0;85;238;1;3;226;6;0;2;897
"189";"150080005000189";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";866;533;1;510;0;22;533;22;303;207;0;0;1;1926
"190";"150080005000190";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";570,64;171;26;140;0;5;170;37;7;121;5;0;0;637
"191";"150080005000191";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";724,48;276;74;179;0;23;275;5;8;262;0;0;0;1044
"192";"150080005000192";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";520,11;327;95;186;0;46;324;46;7;258;13;0;0;1215
"193";"150080005000193";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";754,96;320;28;273;0;19;320;1;14;305;0;0;0;1223
"194";"150080005000194";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";506,16;291;82;202;0;7;282;1;10;267;2;0;2;1151
"195";"150080005000195";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";552,64;278;48;207;0;23;277;0;5;272;0;0;0;1043
